player_id,player_name,team_shortname,sprinting_events,avg_sprint_duration_secs,med_sprint_duration_secs,avg_sprint_distance_metres,total_sprint_distance_metres,passes,pass_success_pct,avg_pass_distance_m,avg_xthreat_targeted,pct_forward_passes,pct_lead_to_shot,shots,goals,conversion_pct,header_rate_pct,avg_shot_distance_m
43829,N. Moreno,Auckland FC,11,2.58,2.5,18.84,207.2,52,71.2,10.17,0.015,30.8,7.7,8,2,25.0,0.0,18.77
9520,S. Souprayen,Melbourne City,,,,,,187,94.1,16.16,0.002,52.9,2.1,1,1,100.0,100.0,9.97
11117,Z. Machach,Melbourne V FC,8,2.76,2.3,18.87,150.93,76,81.6,9.56,0.015,35.5,10.5,6,1,16.7,16.7,18.43
17231,P. Klimala,Sydney FC,1,2.4,2.4,16.45,16.45,14,71.4,18.68,0.016,14.3,14.3,2,1,50.0,50.0,8.91
18573,J. Lolley,Sydney FC,7,2.71,2.4,20.52,143.65,65,69.2,13.55,0.024,29.2,6.2,2,1,50.0,0.0,15.98
23909,K. Barbarouses,Wellington P FC,18,2.98,2.7,21.1,379.81,44,68.2,9.07,0.023,25.0,6.8,1,1,100.0,0.0,16.96
29075,N. Vergos,Melbourne V FC,5,1.68,1.9,11.36,56.8,17,70.6,9.25,0.03,11.8,23.5,6,1,16.7,16.7,14.57
33697,N. Pijnaker,Auckland FC,1,0.0,0.0,0.0,0.0,213,82.6,17.24,0.002,58.7,1.4,3,1,33.3,66.7,12.01
50955,N. Velupillay,Melbourne V FC,13,2.48,2.5,18.27,237.5,56,75.0,11.41,0.012,35.7,10.7,5,1,20.0,0.0,20.1
51005,D. Pierias,Adelaide United,15,2.66,3.2,20.38,305.75,41,68.3,11.97,0.032,39.0,9.8,4,1,25.0,0.0,16.5
51045,A. Cáceres,Sydney FC,8,2.65,2.5,18.88,151.04,116,81.0,10.32,0.014,39.7,5.2,2,1,50.0,0.0,17.41
51046,P. Retre,Wellington P FC,,,,,,47,76.6,8.85,0.014,44.7,6.4,1,1,100.0,0.0,20.78
51675,A. Thurgate,Western United,5,1.72,0.9,12.16,60.8,69,82.6,12.95,0.007,37.7,7.2,2,1,50.0,0.0,12.8
133498,F. De Vries,Auckland FC,17,3.32,3.3,25.13,427.17,149,70.5,14.9,0.01,45.0,8.1,1,1,100.0,0.0,18.53
133501,L. Rogerson,Auckland FC,13,2.75,1.9,19.54,254.01,87,70.1,10.98,0.008,23.0,5.7,4,1,25.0,50.0,14.21
133854,A. Segecic,Sydney FC,23,2.89,2.9,20.62,474.31,24,70.8,9.33,0.042,8.3,8.3,7,1,14.3,0.0,17.38
159945,M. Caputo,Melbourne City,4,3.73,2.8,27.06,108.22,12,91.7,10.82,0.007,8.3,8.3,3,1,33.3,0.0,11.87
560916,N. Botić,Western United,12,3.12,2.9,22.6,271.17,42,59.5,9.76,0.021,23.8,14.3,6,1,16.7,83.3,7.51
560984,D. Williams,Perth Glory,,,,,,31,67.7,12.96,0.016,25.8,19.4,2,1,50.0,0.0,10.09
624628,J. Randall,Auckland FC,14,3.54,3.3,25.94,363.09,10,80.0,12.75,0.051,10.0,20.0,3,1,33.3,0.0,14.15
795511,N. Paull,CC Mariners,1,4.0,4.0,29.61,29.61,38,81.6,13.26,0.002,47.4,2.6,1,1,100.0,100.0,20.29
795527,M. Grimaldi,Western United,13,3.32,3.7,24.09,313.11,30,76.7,12.71,0.028,30.0,6.7,2,1,50.0,0.0,16.23
795529,M. Ruhs,Western United,13,3.05,2.5,22.52,292.8,23,69.6,13.11,0.014,17.4,8.7,2,1,50.0,0.0,12.28
818284,O. Lavale,Western United,6,3.02,3.3,21.89,131.32,19,73.7,12.5,0.018,10.5,21.1,1,1,100.0,0.0,0.51
957734,C. Piper,Wellington P FC,10,3.46,3.4,24.65,246.55,22,45.5,13.32,0.031,27.3,0.0,4,1,25.0,75.0,11.4
966118,H. Sawyer,Macarthur FC,,,,,,4,75.0,6.85,0.012,50.0,0.0,1,0,0.0,100.0,10.43
966120,B. Gibson,Newcastle,4,1.88,1.1,13.28,53.12,15,73.3,11.83,0.021,20.0,6.7,1,0,0.0,0.0,13.84
998256,K. Shaw,Sydney FC,2,2.8,2.0,20.49,40.99,49,83.7,14.17,0.001,42.9,0.0,2,0,0.0,100.0,6.85
2858,Douglas Costa,Sydney FC,,,,,,47,74.5,12.17,0.014,38.3,4.3,3,0,0.0,0.0,23.33
4322,H. Sakai,Auckland FC,11,1.97,1.1,14.1,155.15,125,68.8,14.34,0.013,51.2,1.6,2,0,0.0,0.0,17.32
6871,M. Jakoliš,Macarthur FC,,,,,,21,66.7,11.92,0.012,38.1,4.8,1,0,0.0,0.0,22.06
7252,M. Leckie,Melbourne City,2,1.8,1.4,13.11,26.22,38,86.8,11.0,0.018,39.5,10.5,1,0,0.0,0.0,10.57
11885,D. Arzani,Melbourne V FC,11,3.76,4.0,28.36,312.0,60,73.3,10.31,0.018,35.0,11.7,5,0,0.0,0.0,19.33
11891,A. Behich,Melbourne City,2,2.45,0.0,17.67,35.34,124,83.9,15.42,0.008,38.7,2.4,2,0,0.0,0.0,23.61
12120,S. Khaoui,Macarthur FC,1,3.8,3.8,27.99,27.99,9,44.4,9.43,0.004,66.7,0.0,1,0,0.0,0.0,22.52
14736,L. Verstraete,Auckland FC,1,5.2,5.2,36.77,36.77,132,84.8,12.06,0.005,39.4,1.5,4,0,0.0,25.0,19.81
22937,Y. Cohen,Melbourne City,,,,,,17,88.2,11.97,0.005,11.8,5.9,1,0,0.0,0.0,21.03
23418,F. Gallegos,Auckland FC,12,2.77,2.6,20.52,246.21,159,73.0,11.62,0.01,42.1,10.1,6,0,0.0,0.0,20.67
23883,J. Donachie,Western United,6,3.6,3.8,26.66,159.98,100,78.0,15.23,0.002,49.0,1.0,1,0,0.0,100.0,8.34
23922,B. Garuccio,Western United,21,2.53,2.3,17.62,369.99,92,71.7,15.81,0.012,43.5,5.4,2,0,0.0,0.0,22.88
25534,A. Ouahim,Sydney FC,3,4.1,4.0,28.93,86.78,50,80.0,10.89,0.018,36.0,8.0,3,0,0.0,0.0,21.41
26844,R. Danzaki,Western United,8,3.72,2.5,26.95,215.57,36,52.8,12.44,0.029,33.3,16.7,5,0,0.0,0.0,21.09
26969,H. Ishige,Wellington P FC,3,1.7,1.8,12.34,37.02,52,57.7,11.42,0.013,32.7,3.8,1,0,0.0,0.0,20.29
29856,A. McCalmont,CC Mariners,,,,,,22,100.0,12.98,0.005,27.3,0.0,1,0,0.0,0.0,21.05
38673,G. May,Auckland FC,14,2.66,2.5,19.07,266.94,96,74.0,10.8,0.017,29.2,14.6,12,0,0.0,0.0,19.64
42513,Z. Clough,Adelaide United,3,2.07,1.6,15.68,47.04,29,79.3,11.21,0.016,48.3,13.8,1,0,0.0,0.0,25.89
50951,J. Brimmer,Auckland FC,3,2.33,2.1,16.36,49.09,113,82.3,11.01,0.01,38.9,9.7,3,0,0.0,0.0,20.61
50959,S. Mauk,Adelaide United,3,2.17,2.5,15.77,47.31,24,62.5,11.29,0.029,33.3,4.2,1,0,0.0,0.0,11.71
50977,J. Rawlins,Melbourne V FC,3,3.33,4.6,26.27,78.82,60,78.3,15.08,0.008,38.3,5.0,2,0,0.0,0.0,19.94
50992,K. Trewin,Melbourne City,3,1.33,1.2,9.49,28.48,183,91.3,14.57,0.004,43.2,0.5,2,0,0.0,0.0,18.65
51002,J. O'Shea,Brisbane FC,,,,,,81,81.5,12.97,0.009,42.0,3.7,3,0,0.0,0.0,21.67
51014,I. Vujica,Macarthur FC,1,0.0,0.0,0.0,0.0,34,73.5,14.6,0.009,35.3,2.9,1,0,0.0,100.0,11.58
